sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.1452;5.3629;7.9678;1.8086;5.1007;8.0032;0.3366;0.2622;-0.0354;11.0;-42.2;24.8;186.54;-32.94;-11.7;;26.733;;;;;;95.0;60.0;3.0;212;2014-11-08 13:54:53:585
0.6129;6.8952;6.742;1.2456;5.049;8.648;-0.6327;1.8462;-1.9061;24.6;-40.6;28.3;202.08;-30.02;-8.2;;25.221;;;;;;95.0;60.0;3.0;712;2014-11-08 13:54:54:085
-0.3065;7.5081;6.742;-0.0904;8.5531;6.415;-0.2161;-1.0449;0.327;22.2;-36.3;20.1;212.05;-49.79;4.04;;24.283;;;;;;95.0;60.0;3.0;1212;2014-11-08 13:54:54:585
1.992;4.9033;8.5807;0.9782;6.7375;6.3557;1.0138;-1.8342;2.2251;23.2;-28.3;15.4;212.11;-46.34;-8.75;;26.032;;;;;;95.0;60.0;3.0;1716;2014-11-08 13:54:55:089
0.9194;5.0565;8.7339;1.8485;4.8438;7.8318;-0.9291;0.2127;0.9021;27.7;-18.8;15.8;218.93;-30.73;-15.61;;32.624;;;;;;95.0;60.0;3.0;2232;2014-11-08 13:54:55:605
-1.0726;4.9033;7.8146;0.4619;5.0799;8.9589;-1.5345;-0.1766;-1.1444;26.1;-11.4;11.8;236.76;-28.86;-6.3;;23.676;;;;;;95.0;60.0;3.0;2741;2014-11-08 13:54:56:114
0.4597;6.5888;9.1936;-1.0709;5.0882;7.5086;1.5305;1.5006;1.685;17.3;-3.7;6.7;252.2;-33.63;8.71;;24.3;;;;;;95.0;60.0;3.0;3241;2014-11-08 13:54:56:614
0.6129;5.5162;7.2017;0.8121;4.7506;8.9198;-0.1992;0.7656;-1.7181;-4.8;-8.6;5.5;159.28;-33.24;-0.54;;24.337;;;;;;95.0;60.0;3.0;3742;2014-11-08 13:54:57:115
-0.4597;4.5968;7.0484;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;-10.6;-6.3;11.2;135.49;-32.97;0.56;;23.408;;;;;;95.0;60.0;3.0;4243;2014-11-08 13:54:57:616
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;-19.6;-6.7;18.6;132.02;-32.84;3.73;;24.598;;;;;;95.0;60.0;3.0;4744;2014-11-08 13:54:58:117
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;-14.7;-5.6;10.8;128.96;-32.84;3.73;;25.914;;;;;;95.0;60.0;3.0;5245;2014-11-08 13:54:58:618
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;1.1;-24.0;7.6;183.55;-32.84;3.73;;48.786;;;;;;95.0;60.0;3.0;5746;2014-11-08 13:54:59:119
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;0.7;-35.5;12.2;182.84;-32.84;3.73;0.0;51.592;;;;;;95.0;60.0;3.0;6246;2014-11-08 13:54:59:619
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;11.2;-41.1;24.5;203.8;-32.84;3.73;0.0;65.378;;;;;;95.0;60.0;3.0;6746;2014-11-08 13:55:00:119
0.4597;5.0565;6.742;-0.5533;5.4823;8.4762;0.0936;-0.8855;-1.4278;16.2;-39.7;26.4;200.55;-32.84;3.73;0.0;41.983;;;;;;95.0;60.0;3.0;7246;2014-11-08 13:55:00:619
